None	Vib	Mag
228	92.81	64.14
129.89	57.84	92.47
66.77	42.77	197.14
74.28	60.58	85.7
53.86	88.72	86.07
121.06	181.09	87.88
174.04	40.14	71.47
116.53	44.93	60.15
91.81	73.48	115.34
77.84	55.96	95.37
66.75	130.01	116.57
80.15	157.25	131.56
