None	Vib	Mag
231.04	162.22	167.72
241.96	152.82	186.65
202.19	161.63	204.27
163.65	151.34	196.9
153.85	238.82	155.24
178.8	331.71	127.79
195.05	140.11	152.68
209.88	141.81	179.63
205.26	193.6	237.4
169.75	169.63	195.85
181.75	219.4	268.93
139.97	308.9	140.61
