None	Vib	Mag
5.5	5	4.5
4	6	5
5.5	6	6
3.5	4.5	4.5
3	5	5
4.5	6	5.5
5.5	6	6
5	5.5	6
3.5	5.5	5
2	6	5
2.5	5	6.5
1	2	3
